GLIPH2	iSMART	TCRDist*	ClusTCR¹	ClusTCR²	GIANA	n_sequences
4.02858901023865	1.9320182800293	19.0412654876709	0.337837934494018	0.612711191177368	5.60797357559204	5000
9.17903232574463	5.22709941864014	71.4483227729797	0.592275142669678	0.83770227432251	5.94527626037598	10000
40.5313045978546	23.8463690280914	421.404109716415	2.6712110042572	1.83633923530579	7.86841177940369	25000
104.656527996063	88.3887040615082	1617.35726761818	10.1152260303497	3.93009829521179	12.5151522159576	50000
329.7172768116	373.025516271591	6505.7991206646	26.0808842182159	9.45355653762817	27.44446849823	100000
827.611274003983	1473.65259218216	25342.8984501362	102.82176399231	23.5277459621429	83.8789963722229	200000
4049.42401862145			332.61904835701	74.3766975402832	477.288802146912	500000
7155.84669542313			675.633273839951	153.468177318573	1033.48623609543	750000
10441.701972723			1172.26751041412	260.795979976654	1701.87165331841	1000000
4.33934140205383	2.23912262916565	19.9995982646942	0.334920883178711	0.860135316848755	5.54119896888733	5000
9.74849653244019	5.83900022506714	72.6797742843628	0.900238990783691	1.28976130485535	5.83682632446289	10000
44.9592707157135	24.5733237266541	441.92756152153	2.61391091346741	2.0661768913269	7.89654016494751	25000
117.637622833252	94.8123724460602	1738.10970973969	11.0593993663788	4.76273941993713	15.8612816333771	50000
301.358497142792	327.263027667999	6379.95130181313	32.5592753887176	9.85065865516663	29.751617193222	100000
1012.15879297256	1500.43691015244		111.313391208649	26.2446157932281	83.5717208385467	200000
4697.4563741684			452.475036859512	89.6591188907623	451.965423822403	500000
6537.12427258492			734.602747440338	137.85059094429	1083.31822180748	750000
9871.30224919319			983.116931915283	211.197948932648	1421.99603271484	1000000
7.47984886169434	2.24001169204712	20.4697840213776	0.343785285949707	0.733470916748047	4.78108811378479	5000
10.7091045379639	5.97921752929688	75.1905918121338	0.824563026428223	1.08936667442322	5.16818785667419	10000
42.8383576869965	25.9432826042175	456.388350009918	2.56905364990234	1.79062652587891	6.98478364944458	25000
118.127078533173	94.913094997406	1716.46946120262	7.55878877639771	3.23999381065369	10.8890900611877	50000
292.507414102554	343.427929401398	6464.86680579186	35.2869803905487	13.3636329174042	24.0866851806641	100000
973.44261097908	922.781718015671		85.5772128105164	21.6527578830719	67.3311305046082	200000
5245.16754865646			326.460954904556	69.9658939838409	354.879265069962	500000
6806.78091573715			651.371690750122	135.952163934708	841.845944643021	750000
9125.48045992851			887.483262300491	200.064493656158	1416.31347370148	1000000
